"Tempo em ms, m = 10000",,,,
,Load Factor,Hash,Convencional,Relação Hash/Convencional
Inserção,"0,1","0,021717000","0,001625150","13,363074178"
,"0,2","0,019964700","0,001118390","17,851286224"
,"0,3","0,008315050","0,000438634","18,956692824"
,"0,4","0,008593980","0,000444773","19,322171085"
,"0,5","0,009224760","0,000458133","20,135550157"
,"0,6","0,010715800","0,000520041","20,605683013"
,"0,7","0,007289880","0,000402204","18,124832175"
,"0,8","0,007866570","0,000430181","18,286651433"
,"0,9","0,007759070","0,000406525","19,086329254"
,1,"0,008891240","0,000359021","24,765236574"
Busca,"0,1","0,006767500","0,029889800","0,226415031"
,"0,2","0,006312440","0,060902000","0,103649141"
,"0,3","0,002332600","0,029071900","0,080235554"
,"0,4","0,002205420","0,039080000","0,056433470"
,"0,5","0,002123240","0,043200800","0,049148164"
,"0,6","0,002337750","0,056857400","0,041116020"
,"0,7","0,002103350","0,051049400","0,041202247"
,"0,8","0,002317520","0,059329000","0,039062179"
,"0,9","0,002650060","0,068081700","0,038924704"
,1,"0,022400300","0,063404100","0,353294188"